air_conditioning,cost_system,cost_operating,elec_price,square_feet,income,residents,city
TRUE,544,141,9.7,347,59,2,1
TRUE,560,138,9.6,360,56,3,1
TRUE,577,82,7.4,229,58,2,1
FALSE,505,186,11.1,394,64,1,1
TRUE,506,111,8.6,237,55,2,1
TRUE,514,100,8.2,219,71,1,1
TRUE,678,104,8.3,398,82,1,1
FALSE,625,120,9,392,54,1,1
TRUE,552,112,8.6,283,75,2,1
TRUE,628,146,9.9,478,76,2,1
FALSE,515,96,8,211,50,1,1
TRUE,608,138,9.6,426,68,2,2
TRUE,652,158,10.3,559,84,1,2
FALSE,531,116,8.8,272,42,2,2
TRUE,503,141,9.7,296,52,2,2
FALSE,576,178,10.9,491,50,1,2
TRUE,605,154,10.1,472,57,2,2
FALSE,613,164,10.4,512,44,2,2
FALSE,686,132,9.4,519,51,1,2
TRUE,523,146,9.9,333,69,1,2
TRUE,623,128,9.2,413,74,2,2
FALSE,608,117,8.8,362,46,2,2
FALSE,631,132,9.4,439,58,1,2
FALSE,650,201,11.6,707,58,2,2
TRUE,662,159,10.3,580,50,3,2
TRUE,504,143,9.8,304,67,1,2
TRUE,586,127,9.2,364,54,3,2
FALSE,563,211,11.9,556,54,1,2
TRUE,633,143,9.8,477,52,2,2
FALSE,663,209,11.8,765,47,2,2
TRUE,689,102,8.3,404,83,1,2
TRUE,692,113,8.7,453,67,3,2
TRUE,655,177,10.9,633,80,2,2
TRUE,672,131,9.3,493,79,2,2
TRUE,606,97,8,297,67,1,2
FALSE,518,140,9.6,312,33,2,2
FALSE,507,143,9.8,307,57,1,2
FALSE,562,192,11.3,505,52,1,2
TRUE,561,104,8.3,272,82,1,2
FALSE,498,139,9.6,289,46,1,2
TRUE,611,139,9.6,433,66,2,2
TRUE,516,110,8.6,243,58,2,2
FALSE,610,168,10.6,521,43,1,2
TRUE,672,141,9.7,531,73,2,2
TRUE,687,176,10.8,691,58,2,2
TRUE,493,158,10.2,319,79,1,2
TRUE,670,96,8,358,110,2,2
FALSE,620,102,8.3,328,61,1,2
TRUE,495,116,8.8,237,47,3,2
TRUE,605,80,7.3,244,59,3,2
TRUE,675,140,9.7,532,83,2,2
FALSE,555,165,10.5,423,20,2,2
FALSE,536,117,8.8,281,56,1,2
FALSE,640,106,8.4,361,29,3,2
TRUE,561,110,8.6,290,78,1,2
FALSE,590,352,15.3,1022,61,1,2
TRUE,559,113,8.7,294,45,3,2
TRUE,515,183,11,404,58,3,2
FALSE,505,140,9.7,297,48,1,2
FALSE,556,258,13.1,664,49,2,2
FALSE,646,162,10.4,564,39,2,2
FALSE,583,136,9.5,386,56,1,2
FALSE,576,222,12.2,614,53,1,2
TRUE,661,113,8.7,412,85,3,2
FALSE,645,185,11.1,643,60,1,2
FALSE,553,144,9.8,366,34,2,2
FALSE,635,129,9.3,434,34,2,2
TRUE,631,123,9.1,409,78,3,2
TRUE,627,146,9.9,478,74,1,2
FALSE,520,166,10.5,373,37,1,2
TRUE,621,185,11.1,596,62,3,2
TRUE,499,234,12.5,485,63,2,2
TRUE,642,118,8.9,406,52,2,2
TRUE,552,175,10.8,444,85,1,2
FALSE,562,118,8.9,312,60,1,2
FALSE,609,128,9.2,396,28,2,2
FALSE,623,159,10.3,514,66,1,2
TRUE,565,142,9.7,377,71,1,2
TRUE,554,199,11.5,509,63,3,2
TRUE,611,160,10.3,496,66,2,2
TRUE,527,156,10.2,361,50,3,2
TRUE,543,198,11.5,487,63,3,2
FALSE,519,153,10.1,343,47,1,2
TRUE,554,144,9.8,369,89,3,2
TRUE,679,244,12.7,935,78,2,2
FALSE,690,231,12.4,919,46,2,2
FALSE,637,149,10,503,46,1,2
TRUE,493,192,11.3,390,84,2,2
TRUE,602,129,9.3,391,73,3,2
FALSE,646,130,9.3,453,44,1,2
FALSE,599,140,9.7,418,53,1,2
FALSE,540,206,11.7,500,61,1,2
FALSE,525,108,8.5,249,30,2,2
FALSE,641,237,12.6,812,59,2,2
TRUE,502,166,10.5,349,54,2,2
FALSE,659,230,12.4,831,52,2,2
TRUE,683,208,11.8,808,70,2,2
TRUE,541,176,10.8,427,76,2,2
FALSE,611,171,10.7,533,37,2,2
TRUE,685,114,8.7,446,81,2,2
FALSE,518,169,10.6,379,36,1,2
FALSE,587,129,9.3,370,51,1,2
TRUE,546,124,9.1,309,82,1,2
FALSE,683,106,8.4,412,58,1,2
FALSE,504,201,11.6,425,55,1,2
TRUE,648,151,10,527,43,3,2
TRUE,501,94,7.9,196,59,1,2
FALSE,630,234,12.5,774,50,2,2
TRUE,610,126,9.2,390,69,2,2
TRUE,681,145,9.8,562,55,2,2
FALSE,682,126,9.2,488,70,1,2
TRUE,663,210,11.8,769,77,2,2
TRUE,548,145,9.8,364,48,2,2
FALSE,652,127,9.2,451,67,1,2
TRUE,602,141,9.7,425,86,1,2
FALSE,657,92,7.8,332,56,1,2
FALSE,623,178,10.9,576,55,1,2
FALSE,607,201,11.6,618,49,2,2
FALSE,674,144,9.8,544,52,1,2
TRUE,626,143,9.8,468,58,2,2
TRUE,541,132,9.4,321,47,2,2
FALSE,646,135,9.5,471,57,1,2
TRUE,616,141,9.7,447,72,3,2
TRUE,652,130,9.3,460,59,3,2
TRUE,637,122,9,411,71,3,2
FALSE,622,250,12.9,805,42,2,2
TRUE,686,121,9,475,60,2,2
TRUE,499,116,8.8,240,55,3,2
TRUE,517,157,10.2,350,54,2,2
FALSE,554,146,9.9,374,65,1,2
FALSE,647,89,7.7,309,49,1,2
TRUE,610,117,8.8,363,72,1,2
TRUE,658,139,9.6,503,77,1,2
TRUE,575,152,10.1,419,64,2,2
TRUE,643,123,9.1,424,71,1,2
FALSE,515,154,10.1,340,48,1,2
TRUE,536,155,10.2,373,76,1,2
FALSE,624,128,9.3,417,50,1,2
FALSE,577,144,9.8,399,63,1,2
FALSE,613,166,10.5,521,49,1,2
FALSE,680,134,9.4,517,59,1,2
FALSE,548,156,10.2,391,48,1,2
TRUE,504,130,9.3,275,57,2,2
TRUE,504,225,12.2,476,55,3,2
TRUE,673,170,10.7,642,66,2,2
TRUE,556,169,10.6,435,68,3,2
TRUE,691,139,9.6,552,59,2,2
TRUE,572,174,10.8,474,69,2,2
FALSE,652,105,8.4,373,51,1,2
TRUE,586,99,8.1,284,59,3,2
FALSE,533,145,9.8,344,47,1,2
FALSE,672,163,10.4,613,41,3,2
FALSE,511,172,10.7,375,47,1,2
TRUE,505,179,10.9,380,65,3,2
TRUE,581,108,8.5,303,45,2,2
FALSE,666,178,10.9,656,56,1,2
FALSE,613,122,9,381,35,1,2
TRUE,493,174,10.8,353,64,2,2
TRUE,579,165,10.5,461,75,1,2
FALSE,507,134,9.4,286,54,1,2
FALSE,686,203,11.6,799,73,1,2
TRUE,656,126,9.2,454,76,1,2
FALSE,579,246,12.8,687,71,1,2
FALSE,559,92,7.8,240,49,1,2
FALSE,648,232,12.4,813,57,2,2
TRUE,543,136,9.5,333,65,2,2
FALSE,618,177,10.9,564,41,1,2
TRUE,510,147,9.9,319,58,3,2
TRUE,682,243,12.7,939,69,2,2
TRUE,547,121,9,302,57,2,2
FALSE,596,200,11.5,592,55,1,2
TRUE,497,156,10.2,321,71,3,2
FALSE,643,169,10.6,584,74,1,2
TRUE,652,216,12,765,56,3,2
FALSE,678,152,10.1,582,39,2,2
TRUE,535,138,9.6,329,51,2,2
TRUE,537,99,8.1,237,57,1,2
FALSE,628,119,8.9,390,55,1,2
TRUE,532,216,12,509,61,3,2
TRUE,558,188,11.2,488,54,3,2
FALSE,613,158,10.3,494,57,1,2
TRUE,637,139,9.6,470,49,3,2
TRUE,592,120,9,351,70,3,2
TRUE,549,95,8,239,82,2,2
TRUE,525,118,8.9,271,60,1,2
FALSE,584,171,10.7,486,56,1,2
FALSE,647,152,10.1,528,35,2,2
TRUE,599,140,9.7,420,70,1,2
TRUE,669,152,10.1,566,60,3,2
TRUE,610,177,10.9,549,59,2,2
FALSE,665,190,11.3,701,66,1,2
TRUE,682,238,12.6,923,80,2,2
TRUE,536,111,8.6,267,73,3,2
FALSE,586,129,9.3,369,30,1,2
TRUE,530,126,9.2,296,74,2,2
FALSE,677,131,9.4,502,24,1,2
FALSE,541,194,11.4,474,65,1,2
TRUE,610,98,8.1,303,65,1,2
TRUE,510,181,11,391,69,2,2
FALSE,678,210,11.8,805,74,1,2
FALSE,607,151,10,463,48,2,2
TRUE,590,184,11.1,534,62,2,2
FALSE,548,150,10,376,55,1,2
TRUE,559,158,10.3,412,64,2,2
TRUE,633,109,8.5,365,66,1,2
TRUE,523,129,9.3,294,68,3,2
TRUE,673,130,9.3,490,83,1,2
FALSE,503,116,8.8,245,35,1,2
FALSE,617,165,10.5,522,72,1,2
FALSE,684,157,10.2,614,57,1,2
TRUE,547,147,9.9,366,66,2,2
TRUE,662,148,9.9,542,68,2,3
FALSE,644,151,10,521,46,1,3
TRUE,678,90,7.8,346,81,2,3
TRUE,524,119,8.9,271,62,3,3
TRUE,625,146,9.9,475,89,1,3
TRUE,560,145,9.8,378,69,1,3
TRUE,578,136,9.5,381,48,2,3
FALSE,579,233,12.5,652,57,2,3
FALSE,532,164,10.4,385,53,1,3
FALSE,631,114,8.7,380,56,1,3
TRUE,675,172,10.7,653,75,2,3
TRUE,552,151,10,383,55,2,3
FALSE,610,230,12.4,714,55,1,3
TRUE,587,174,10.8,500,60,3,3
TRUE,689,201,11.6,796,74,2,3
TRUE,660,136,9.5,493,64,2,3
TRUE,639,126,9.2,430,61,3,3
TRUE,496,126,9.2,259,63,1,3
FALSE,584,185,11.1,525,36,1,3
TRUE,602,135,9.5,408,68,2,3
FALSE,590,163,10.4,473,64,1,3
TRUE,685,142,9.7,554,54,3,3
TRUE,542,120,8.9,293,68,1,3
TRUE,642,179,10.9,616,56,3,3
TRUE,556,137,9.6,354,66,2,3
FALSE,542,205,11.7,501,54,1,3
FALSE,666,194,11.4,716,39,1,3
TRUE,643,112,8.6,385,78,1,3
TRUE,661,211,11.9,770,63,2,3
TRUE,674,128,9.2,484,82,2,3
TRUE,683,111,8.6,431,69,2,3
TRUE,560,141,9.7,369,62,2,3
TRUE,491,126,9.2,254,70,1,3
TRUE,578,132,9.4,368,76,1,3
TRUE,525,200,11.5,459,77,2,3
TRUE,600,133,9.4,398,71,2,3
FALSE,673,165,10.5,624,38,2,3
FALSE,525,158,10.3,363,29,3,3
FALSE,541,164,10.5,400,40,1,3
TRUE,494,126,9.2,257,73,1,3
TRUE,636,120,8.9,405,87,1,3
TRUE,527,76,7.1,175,59,3,3
FALSE,533,306,14.3,724,56,1,3
TRUE,553,141,9.7,360,70,2,3
TRUE,575,114,8.7,313,54,2,3
TRUE,568,206,11.7,554,59,2,3
TRUE,640,139,9.6,475,84,1,3
FALSE,559,205,11.7,535,53,2,3
TRUE,547,139,9.6,347,66,1,3
TRUE,572,269,13.4,733,94,1,3
FALSE,588,149,10,429,20,3,3
TRUE,573,118,8.9,324,96,1,3
FALSE,560,201,11.6,523,49,2,3
TRUE,644,142,9.7,489,68,2,3
FALSE,540,151,10,367,59,1,3
FALSE,588,120,9,346,26,3,3
FALSE,586,110,8.6,315,30,2,3
TRUE,684,116,8.8,453,94,1,3
TRUE,676,164,10.5,626,55,3,3
FALSE,510,187,11.2,405,65,1,3
TRUE,517,132,9.4,294,72,1,3
TRUE,576,160,10.3,442,87,3,3
TRUE,491,116,8.8,233,89,1,3
FALSE,655,213,11.9,761,52,2,3
FALSE,656,221,12.1,792,46,1,3
FALSE,613,215,12,674,78,1,3
TRUE,620,188,11.2,600,72,3,3
FALSE,504,135,9.5,285,55,1,3
TRUE,693,209,11.8,837,86,2,3
TRUE,605,135,9.5,411,71,1,3
TRUE,647,108,8.5,375,43,3,3
TRUE,564,278,13.6,738,68,3,3
TRUE,582,139,9.6,393,72,2,3
TRUE,676,156,10.2,596,74,2,3
FALSE,655,156,10.2,558,25,1,3
TRUE,629,137,9.6,451,62,3,3
FALSE,667,203,11.6,752,80,1,3
TRUE,515,126,9.2,278,80,2,3
TRUE,520,136,9.5,307,72,2,3
FALSE,521,171,10.7,387,58,1,3
TRUE,614,107,8.4,335,66,2,3
TRUE,519,117,8.8,262,56,2,3
FALSE,589,147,9.9,423,48,1,3
FALSE,515,130,9.3,288,58,1,3
TRUE,651,206,11.7,729,72,3,3
FALSE,669,134,9.5,502,68,1,3
TRUE,681,152,10.1,590,88,3,3
TRUE,582,101,8.2,284,58,2,3
TRUE,521,103,8.3,234,49,2,3
FALSE,675,280,13.7,1063,62,2,3
TRUE,529,154,10.1,358,51,2,3
TRUE,523,107,8.5,245,82,2,3
TRUE,569,171,10.7,461,73,3,3
TRUE,597,110,8.6,327,82,1,3
FALSE,600,179,10.9,538,40,1,3
TRUE,496,135,9.5,276,77,1,3
FALSE,581,144,9.8,407,61,1,3
FALSE,688,220,12.1,867,68,1,3
FALSE,604,221,12.1,671,47,1,3
TRUE,546,109,8.5,270,65,1,3
TRUE,684,163,10.4,635,68,2,3
TRUE,559,179,10.9,467,74,3,3
FALSE,555,227,12.3,584,44,1,3
FALSE,611,197,11.4,611,72,1,3
FALSE,522,239,12.6,544,42,2,3
FALSE,645,102,8.2,353,50,1,3
FALSE,583,128,9.2,363,36,1,3
TRUE,658,133,9.4,481,84,1,3
TRUE,691,134,9.5,533,82,2,3
TRUE,644,195,11.4,674,89,1,3
FALSE,581,221,12.1,622,74,1,3
FALSE,619,158,10.3,504,37,1,3
FALSE,687,164,10.5,645,49,1,3
TRUE,614,184,11.1,579,77,2,3
TRUE,559,164,10.5,427,48,3,3
TRUE,518,100,8.2,224,55,2,3
FALSE,521,224,12.2,506,41,2,3
TRUE,613,150,10,470,53,3,3
FALSE,653,174,10.8,619,44,1,3
TRUE,518,143,9.8,319,91,2,3
TRUE,570,122,9,330,99,1,3
FALSE,619,121,9,386,37,1,3
TRUE,491,121,9,243,34,3,3
FALSE,593,197,11.5,578,54,2,3
FALSE,650,213,11.9,750,61,1,3
FALSE,545,118,8.9,292,34,1,3
FALSE,494,113,8.7,230,42,1,3
FALSE,646,136,9.5,475,36,1,3
FALSE,625,203,11.6,661,61,1,3
TRUE,578,158,10.3,440,62,2,3
TRUE,536,66,6.6,157,50,2,3
TRUE,562,121,9,320,59,3,3
FALSE,673,217,12,820,59,2,3
FALSE,555,175,10.8,449,55,1,3
FALSE,583,123,9,348,47,1,3
TRUE,629,158,10.3,521,49,3,3
TRUE,552,157,10.2,399,94,2,3
FALSE,644,186,11.1,644,66,1,3
FALSE,676,201,11.6,766,65,1,3
TRUE,589,129,9.3,371,68,1,3
FALSE,645,215,12,745,49,1,3
TRUE,610,123,9,381,55,3,3
FALSE,627,163,10.4,535,61,1,3
TRUE,650,148,9.9,522,90,1,3
TRUE,557,133,9.4,345,76,2,3
FALSE,578,137,9.6,381,39,1,3
FALSE,625,191,11.3,621,72,1,3
TRUE,559,167,10.6,435,57,2,3
FALSE,674,184,11.1,697,61,1,3
FALSE,653,300,14.1,1065,62,2,3
FALSE,649,186,11.1,652,78,1,3
FALSE,608,144,9.8,445,70,1,3
TRUE,661,225,12.2,819,77,3,3
FALSE,598,185,11.1,551,65,1,3
FALSE,627,104,8.3,342,31,1,3
FALSE,569,168,10.6,454,63,1,3
FALSE,552,121,9,308,61,1,3
TRUE,622,184,11.1,593,68,2,3
FALSE,584,208,11.8,592,29,2,3
TRUE,502,170,10.6,356,44,3,3
FALSE,662,146,9.9,532,68,1,3
TRUE,611,210,11.8,652,67,3,3
TRUE,541,177,10.9,431,49,3,3
TRUE,626,110,8.6,360,86,1,3
TRUE,626,142,9.7,464,73,2,3
TRUE,669,133,9.4,495,63,2,3
TRUE,594,176,10.8,516,51,3,3
TRUE,688,194,11.4,763,71,2,3
FALSE,666,203,11.6,751,61,1,3
FALSE,643,194,11.4,668,43,3,3
TRUE,672,174,10.8,656,63,2,3
FALSE,641,94,7.9,320,28,2,3
TRUE,495,137,9.6,279,54,2,3
TRUE,594,143,9.7,419,57,2,3
FALSE,590,126,9.2,366,59,1,3
TRUE,498,107,8.5,221,67,3,3
FALSE,546,143,9.8,356,38,1,3
FALSE,640,238,12.6,815,39,3,3
FALSE,619,187,11.2,598,52,2,3
FALSE,662,245,12.8,893,47,1,3
TRUE,573,179,10.9,490,78,1,3
FALSE,623,152,10.1,492,59,1,3
FALSE,619,145,9.8,463,51,1,3
TRUE,669,138,9.6,515,83,1,3
FALSE,545,141,9.7,347,60,1,3
FALSE,601,147,9.9,441,47,2,3
TRUE,508,113,8.7,243,63,2,3
TRUE,646,131,9.3,456,89,1,3
FALSE,554,146,9.9,373,42,1,3
TRUE,655,109,8.5,390,70,1,3
FALSE,583,115,8.8,326,48,1,3
FALSE,631,121,9,400,64,1,3
TRUE,491,129,9.3,259,54,2,3
TRUE,513,243,12.7,532,71,2,3
TRUE,628,158,10.3,521,82,1,3
FALSE,663,162,10.4,593,69,1,3
FALSE,626,162,10.4,528,47,1,3
TRUE,511,149,10,325,48,3,3
TRUE,528,117,8.8,273,43,3,3
TRUE,619,260,13.2,830,70,3,3
